Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_1,Day7,0.016577,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day14,10.4716,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day21,8.825876,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day28,56.63966,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day35,77.85953,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day42,89.49092,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day49,84.68372,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day56,52.14862,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day63,92.5013,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day70,128.0774,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day77,80.24887,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day84,79.37682,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day125,51.6893,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_1,Day139,29.7263,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day7,0.037463,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day14,3.005803,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day21,2.991009,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day28,12.01145,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day35,12.03274,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day42,8.744988,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day49,9.632133,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day56,9.12144,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day63,9.796851,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day70,10.82445,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day77,10.79922,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day84,9.081924,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day125,10.89659,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_2,Day139,6.978771,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day7,0.082242,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day14,9.998143,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day21,3.438225,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day28,13.66212,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day35,11.3532,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day42,11.84923,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day49,7.585487,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day56,8.667974,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day63,9.480724,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day70,8.141675,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day77,7.432139,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day84,5.680658,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day125,5.432451,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_3,Day139,6.371856,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day7,0.038904,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day14,6.239514,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day21,4.536165,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day28,29.14868,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day35,20.97675,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day42,23.4358,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day49,24.03637,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day56,23.20534,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day63,21.41085,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day70,25.69408,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day77,21.52785,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day84,19.85561,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day125,12.63113,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_4,Day139,10.364,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day7,0.023394,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day14,8.122602,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day21,3.983698,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day28,33.33221,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day35,37.60399,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day42,42.3504,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day49,31.85523,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day56,14.74326,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day63,36.95768,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day70,46.45653,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day77,32.75071,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day84,26.96649,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day125,16.99425,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_5,Day139,13.3676,Exp-inc,Fig1C-Blue
2016 Tam,Mouse_6,Day7,0.223733,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day14,1.299696,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day21,1.171285,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day28,11.09144,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day35,14.07505,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day42,13.20137,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day49,15.15325,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day56,12.30235,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day63,8.282596,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day70,12.38801,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day77,14.23471,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day84,14.78691,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day125,9.312757,Exp-dec,Fig1C-Green
2016 Tam,Mouse_6,Day139,8.83132,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day7,0.24902,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day14,0.704448,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day21,0.481067,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day28,11.15009,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day35,10.14481,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day42,10.02331,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day49,9.890443,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day56,7.050255,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day63,8.170758,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day70,9.363772,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day77,8.169378,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day84,7.545209,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day125,5.783886,Exp-dec,Fig1C-Green
2016 Tam,Mouse_7,Day139,4.897196,Exp-dec,Fig1C-Green
2016 Tam,Mouse_8,Day7,0.089087,Exp-dec,Fig1C-Green
2016 Tam,Mouse_8,Day14,0.620267,Exp-dec,Fig1C-Green
2016 Tam,Mouse_8,Day21,0.414946,Exp-dec,Fig1C-Green
2016 Tam,Mouse_8,Day28,2.560788,Exp-dec,Fig1C-Green
2016 Tam,Mouse_8,Day35,4.214208,Exp-dec,Fig1C-Green
2016 Tam,Mouse_8,Day42,4.105949,Exp-dec,Fig1C-Green
2016 Tam,Mouse_8,Day49,5.308673,Exp-dec,Fig1C-Green
2016 Tam,Mouse_8,Day56,4.279164,Exp-dec,Fig1C-Green
